Var1,celltype,donor,before,after
Aberrant.BasaloidD239,Aberrant.Basaloid,D239,1,1
Aberrant.BasaloidD265,Aberrant.Basaloid,D265,1,1
Aberrant.BasaloidD266,Aberrant.Basaloid,D266,1,1
Aberrant.BasaloidD288,Aberrant.Basaloid,D288,2,2
Aberrant.BasaloidD292,Aberrant.Basaloid,D292,1,1
Aberrant.BasaloidD294,Aberrant.Basaloid,D294,8,8
Aberrant.BasaloidD314,Aberrant.Basaloid,D314,10,10
Aberrant.BasaloidD320,Aberrant.Basaloid,D320,1,1
Aberrant.BasaloidD332,Aberrant.Basaloid,D332,20,20
Aberrant.BasaloidD347,Aberrant.Basaloid,D347,1,1
Aberrant.BasaloidD357,Aberrant.Basaloid,D357,1,1
Aberrant.BasaloidD366,Aberrant.Basaloid,D366,43,43
Aberrant.BasaloidUCSDX13,Aberrant.Basaloid,UCSDX13,17,17
Aberrant.BasaloidUCSDX14,Aberrant.Basaloid,UCSDX14,4,4
Aberrant.BasaloidUCSDX15,Aberrant.Basaloid,UCSDX15,11,11
Aberrant.BasaloidUCSDX18,Aberrant.Basaloid,UCSDX18,4,4
Aberrant.BasaloidUCSDX21,Aberrant.Basaloid,UCSDX21,2,2
Aberrant.BasaloidUCSDX24,Aberrant.Basaloid,UCSDX24,5,5
Aberrant.BasaloidUCSDX28,Aberrant.Basaloid,UCSDX28,6,6
Aberrant.BasaloidUCSDX29,Aberrant.Basaloid,UCSDX29,13,13
Aberrant.BasaloidUCSDX3,Aberrant.Basaloid,UCSDX3,1,1
Aberrant.BasaloidUCSDX30,Aberrant.Basaloid,UCSDX30,20,20
Aberrant.BasaloidUCSDX31,Aberrant.Basaloid,UCSDX31,5,5
Aberrant.BasaloidUCSDX33,Aberrant.Basaloid,UCSDX33,10,10
Aberrant.BasaloidUCSDX35,Aberrant.Basaloid,UCSDX35,17,17
Aberrant.BasaloidUCSDX36,Aberrant.Basaloid,UCSDX36,75,75
Aberrant.BasaloidUCSDX37,Aberrant.Basaloid,UCSDX37,9,9
Aberrant.BasaloidUCSDX38,Aberrant.Basaloid,UCSDX38,41,41
Aberrant.BasaloidUCSDX39,Aberrant.Basaloid,UCSDX39,3,3
Aberrant.BasaloidUCSDX4,Aberrant.Basaloid,UCSDX4,2,2
Aberrant.BasaloidUCSDX41,Aberrant.Basaloid,UCSDX41,83,83
Aberrant.BasaloidUCSDX42,Aberrant.Basaloid,UCSDX42,47,47
Aberrant.BasaloidUCSDX43,Aberrant.Basaloid,UCSDX43,28,28
Aberrant.BasaloidUCSDX44,Aberrant.Basaloid,UCSDX44,18,18
