celltypebydonor,new_count
Aberrant.BasaloidD239,1
Aberrant.BasaloidD265,1
Aberrant.BasaloidD266,1
Aberrant.BasaloidD288,2
Aberrant.BasaloidD292,1
Aberrant.BasaloidD294,8
Aberrant.BasaloidD314,10
Aberrant.BasaloidD320,1
Aberrant.BasaloidD332,20
Aberrant.BasaloidD347,1
Aberrant.BasaloidD357,1
Aberrant.BasaloidD366,43
Aberrant.BasaloidUCSDX13,17
Aberrant.BasaloidUCSDX14,4
Aberrant.BasaloidUCSDX15,11
Aberrant.BasaloidUCSDX18,4
Aberrant.BasaloidUCSDX21,2
Aberrant.BasaloidUCSDX24,5
Aberrant.BasaloidUCSDX28,6
Aberrant.BasaloidUCSDX29,13
Aberrant.BasaloidUCSDX3,1
Aberrant.BasaloidUCSDX30,20
Aberrant.BasaloidUCSDX31,5
Aberrant.BasaloidUCSDX33,10
Aberrant.BasaloidUCSDX35,17
Aberrant.BasaloidUCSDX36,75
Aberrant.BasaloidUCSDX37,9
Aberrant.BasaloidUCSDX38,41
Aberrant.BasaloidUCSDX39,3
Aberrant.BasaloidUCSDX4,2
Aberrant.BasaloidUCSDX41,83
Aberrant.BasaloidUCSDX42,47
Aberrant.BasaloidUCSDX43,28
Aberrant.BasaloidUCSDX44,18
Aberrant.BasaloidUCSDX47,2
Aberrant.BasaloidUCSDX49,1
Aberrant.BasaloidUCSDX51,1
Aberrant.BasaloidUCSDX53,2
Aberrant.BasaloidUCSDX58,1
Aberrant.BasaloidUCSDX59,5
Aberrant.BasaloidUCSDX6,4
Aberrant.BasaloidUCSDX61,35
Aberrant.BasaloidUCSDX64,118
Aberrant.BasaloidUCSDX69,15
Aberrant.BasaloidUCSDX7,1
Aberrant.BasaloidUCSDX76,13
Aberrant.BasaloidUCSDX78,6
Aberrant.BasaloidUCSDX8,1
Aberrant.BasaloidUCSDX9,35
AECD042,58
AECD071,1
AECD116,2
AECD122,45
AECD123,30
AECD176,76
AECD231,45
AECD239,7
AECD260,15
AECD265,168
AECD266,52
AECD283,2
AECD288,23
AECD291,5
AECD292,90
AECD294,71
AECD306,214
AECD312,46
AECD314,22
AECD315,9
AECD320,17
AECD332,11
AECD335,11
AECD339,187
AECD347,72
AECD355,62
AECD356,7
AECD357,4
AECD366,18
AECD369,21
AECD370,45
AECD376,9
AECD381,25
AECUCSDX10,1
AECUCSDX11,14
AECUCSDX13,11
AECUCSDX14,2
AECUCSDX15,29
AECUCSDX16,23
AECUCSDX18,31
AECUCSDX19,56
AECUCSDX2,3
AECUCSDX21,3
AECUCSDX23,15
AECUCSDX24,7
AECUCSDX25,41
AECUCSDX27,1
AECUCSDX28,30
AECUCSDX29,18
AECUCSDX3,5
AECUCSDX30,20
AECUCSDX31,15
AECUCSDX33,10
AECUCSDX35,3
AECUCSDX36,3
AECUCSDX37,5
AECUCSDX38,87
AECUCSDX39,4
AECUCSDX4,5
AECUCSDX40,33
AECUCSDX41,4
AECUCSDX42,74
AECUCSDX43,39
AECUCSDX44,47
AECUCSDX49,1
AECUCSDX50,36
AECUCSDX51,18
AECUCSDX53,21
AECUCSDX58,3
AECUCSDX59,34
AECUCSDX6,5
AECUCSDX61,17
AECUCSDX62,48
AECUCSDX63,65
AECUCSDX64,34
AECUCSDX69,57
AECUCSDX7,27
AECUCSDX72,51
AECUCSDX76,41
AECUCSDX77,18
AECUCSDX78,49
AECUCSDX8,2
AECUCSDX9,18
AF1D042,38
AF1D071,15
AF1D116,14
AF1D122,20
AF1D123,35
AF1D176,45
AF1D231,40
AF1D239,25
AF1D260,30
AF1D265,58
AF1D266,41
AF1D271,13
AF1D283,14
AF1D288,29
AF1D291,9
AF1D292,27
AF1D294,20
AF1D305,3
AF1D306,174
AF1D311,1
AF1D312,29
AF1D314,32
AF1D315,13
AF1D320,39
AF1D332,23
AF1D335,15
AF1D339,67
AF1D347,41
AF1D355,47
AF1D356,32
AF1D357,25
AF1D366,20
AF1D369,36
AF1D370,46
AF1D371,11
AF1D376,21
AF1D381,28
AF1UCSDX10,3
AF1UCSDX11,30
AF1UCSDX13,37
AF1UCSDX14,13
AF1UCSDX15,44
AF1UCSDX16,45
AF1UCSDX18,36
AF1UCSDX19,54
AF1UCSDX2,20
AF1UCSDX20,1
AF1UCSDX21,18
AF1UCSDX23,25
AF1UCSDX24,32
AF1UCSDX25,43
AF1UCSDX27,3
AF1UCSDX28,37
AF1UCSDX29,29
AF1UCSDX3,11
AF1UCSDX30,27
AF1UCSDX31,30
AF1UCSDX33,35
AF1UCSDX35,20
AF1UCSDX36,26
AF1UCSDX37,16
AF1UCSDX38,49
AF1UCSDX39,23
AF1UCSDX4,23
AF1UCSDX40,50
AF1UCSDX41,18
AF1UCSDX42,52
AF1UCSDX43,42
AF1UCSDX44,46
AF1UCSDX46,2
AF1UCSDX47,6
AF1UCSDX49,1
AF1UCSDX50,39
AF1UCSDX51,40
AF1UCSDX52,9
AF1UCSDX53,34
AF1UCSDX58,30
AF1UCSDX59,42
AF1UCSDX6,26
AF1UCSDX61,34
AF1UCSDX62,35
AF1UCSDX63,38
AF1UCSDX64,35
AF1UCSDX69,44
AF1UCSDX7,42
AF1UCSDX72,46
AF1UCSDX76,38
AF1UCSDX77,41
AF1UCSDX78,42
AF1UCSDX8,3
AF1UCSDX9,31
AF2D042,46
AF2D071,2
AF2D116,1
AF2D122,3
AF2D123,8
AF2D176,37
AF2D231,16
AF2D239,16
AF2D260,3
AF2D265,434
AF2D266,18
AF2D283,18
AF2D288,19
AF2D291,4
AF2D292,1
AF2D294,10
AF2D306,44
AF2D311,1
AF2D312,13
AF2D314,17
AF2D315,3
AF2D320,33
AF2D332,26
AF2D335,1
AF2D339,179
AF2D347,57
AF2D355,30
AF2D356,59
AF2D357,43
AF2D366,1
AF2D369,15
AF2D370,30
AF2D381,27
AF2UCSDX10,3
AF2UCSDX11,15
AF2UCSDX13,65
AF2UCSDX14,3
AF2UCSDX15,51
AF2UCSDX16,7
AF2UCSDX18,37
AF2UCSDX19,56
AF2UCSDX2,5
AF2UCSDX21,4
AF2UCSDX23,11
AF2UCSDX24,14
AF2UCSDX25,1
AF2UCSDX28,54
AF2UCSDX29,42
AF2UCSDX30,11
AF2UCSDX31,34
AF2UCSDX33,22
AF2UCSDX36,52
AF2UCSDX37,5
AF2UCSDX38,56
AF2UCSDX39,10
AF2UCSDX4,2
AF2UCSDX40,54
AF2UCSDX41,14
AF2UCSDX42,259
AF2UCSDX43,45
AF2UCSDX44,55
AF2UCSDX47,1
AF2UCSDX50,38
AF2UCSDX51,42
AF2UCSDX53,48
AF2UCSDX58,11
AF2UCSDX59,25
AF2UCSDX6,4
AF2UCSDX61,51
AF2UCSDX62,42
AF2UCSDX63,16
AF2UCSDX64,42
AF2UCSDX69,45
AF2UCSDX7,45
AF2UCSDX72,32
AF2UCSDX76,40
AF2UCSDX77,19
AF2UCSDX78,56
AF2UCSDX9,1
AMD042,27
AMD071,15
AMD116,16
AMD122,42
AMD123,22
AMD176,34
AMD231,43
AMD239,24
AMD260,29
AMD265,31
AMD266,34
AMD271,15
AMD283,2
AMD288,47
AMD291,26
AMD292,49
AMD294,42
AMD305,3
AMD306,51
AMD311,1
AMD312,29
AMD314,37
AMD315,64
AMD320,24
AMD332,40
AMD335,20
AMD339,31
AMD347,29
AMD351,16
AMD355,52
AMD356,15
AMD357,32
AMD366,57
AMD369,30
AMD370,37
AMD371,1
AMD376,43
AMD381,20
AMUCSDX10,9
AMUCSDX11,19
AMUCSDX13,23
AMUCSDX14,27
AMUCSDX15,29
AMUCSDX16,32
AMUCSDX18,25
AMUCSDX19,35
AMUCSDX2,20
AMUCSDX20,13
AMUCSDX21,10
AMUCSDX23,25
AMUCSDX24,19
AMUCSDX25,47
AMUCSDX27,6
AMUCSDX28,24
AMUCSDX29,57
AMUCSDX3,11
AMUCSDX30,44
AMUCSDX31,25
AMUCSDX33,38
AMUCSDX35,43
AMUCSDX36,59
AMUCSDX37,37
AMUCSDX38,28
AMUCSDX39,28
AMUCSDX4,23
AMUCSDX40,33
AMUCSDX41,58
AMUCSDX42,38
AMUCSDX43,30
AMUCSDX44,34
AMUCSDX46,16
AMUCSDX47,12
AMUCSDX49,8
AMUCSDX50,21
AMUCSDX51,30
AMUCSDX52,12
AMUCSDX53,16
AMUCSDX58,17
AMUCSDX59,30
AMUCSDX6,21
AMUCSDX61,36
AMUCSDX62,18
AMUCSDX63,30
AMUCSDX64,44
AMUCSDX69,35
AMUCSDX7,30
AMUCSDX72,34
AMUCSDX76,28
AMUCSDX77,38
AMUCSDX78,28
AMUCSDX8,16
AMUCSDX9,172
ASMCD042,5
ASMCD176,7
ASMCD231,11
ASMCD239,1
ASMCD260,3
ASMCD265,2
ASMCD266,4
ASMCD288,3
ASMCD291,2
ASMCD292,1
ASMCD294,1
ASMCD306,31
ASMCD312,3
ASMCD314,4
ASMCD320,3
ASMCD332,1
ASMCD339,5
ASMCD347,7
ASMCD355,8
ASMCD357,1
ASMCD366,1
ASMCD370,9
ASMCUCSDX11,1
ASMCUCSDX13,4
ASMCUCSDX15,21
ASMCUCSDX16,2
ASMCUCSDX18,5
ASMCUCSDX19,2
ASMCUCSDX21,1
ASMCUCSDX23,1
ASMCUCSDX24,4
ASMCUCSDX25,2
ASMCUCSDX31,1
ASMCUCSDX33,3
ASMCUCSDX35,2
ASMCUCSDX37,2
ASMCUCSDX38,13
ASMCUCSDX39,1
ASMCUCSDX40,3
ASMCUCSDX41,1
ASMCUCSDX42,2
ASMCUCSDX43,2
ASMCUCSDX44,4
ASMCUCSDX50,5
ASMCUCSDX51,1
ASMCUCSDX53,1
ASMCUCSDX58,4
ASMCUCSDX59,10
ASMCUCSDX6,12
ASMCUCSDX61,16
ASMCUCSDX62,3
ASMCUCSDX63,4
ASMCUCSDX64,24
ASMCUCSDX69,21
ASMCUCSDX7,1
ASMCUCSDX72,4
ASMCUCSDX76,21
ASMCUCSDX77,3
ASMCUCSDX78,13
AT.transD042,29
AT.transD071,25
AT.transD116,22
AT.transD122,35
AT.transD123,22
AT.transD176,28
AT.transD231,31
AT.transD239,38
AT.transD260,24
AT.transD265,59
AT.transD266,24
AT.transD271,8
AT.transD283,22
AT.transD288,41
AT.transD291,38
AT.transD292,37
AT.transD294,41
AT.transD305,3
AT.transD306,37
AT.transD311,9
AT.transD312,29
