celltype,before,after
AT2,87404,8168
AT1,50191,4690
AF1,24183,2772
AM,18151,2771
AT.trans,12129,2770
Multiciliated,11103,2769
CAP1,9831,2768
T.Cells,9320,2767
RAS,8464,2766
MON,5656,2765
IM,5345,2764
CAP2,4867,2763
Goblet,4543,2762
NK,3870,2761
AF2,3571,2760
Fibrotic.FB,3126,2760
LEC,2758,2758
AEC,2654,2654
AT0,2302,2302
Club,2172,2172
Peribronchial.FB,2136,2136
PVEC,2057,2057
SVEC,1859,1859
SCMF,1660,1660
DC,1638,1638
Pericyte,1209,1209
Basal,1206,1206
VSMC,1200,1200
B.Cells,1121,1121
Plasma,1120,1120
Mast,1075,1075
Aberrant.Basaloid,751,751
Platelet,556,556
Mesothelium,469,469
ASMC,333,333
Myeloid.p,150,150
