Region	Gene	importance_R2G	rho_R2G	importance_x_rho	importance_x_abs_rho	TF	is_extended	eRegulon_name	Gene_signature_name	Region_signature_name	importance_TF2G	regulation	rho_TF2G	triplet_rank
chr11:65920000-65925000	PACS1	0.0532987896479877	0.058051083081756	0.0030940524660123	0.0030940524660123	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.9402147419520316	1	0.1002055368252774	9768
chr17:45140000-45145000	FMNL1	0.0208296089621353	0.0541832431933345	0.0011286157680174	0.0011286157680174	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.3530790466763593	1	0.0737563548259045	11125
chr1:150585000-150590000	CTSS	0.3692517147248956	0.1122462351445229	0.0414471147985289	0.0414471147985289	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	1.1209241727837125	1	0.0958485727299161	2174
chr17:82440000-82445000	FOXK2	0.0579354741777911	0.057097570500264	0.0033079748213326	0.0033079748213326	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2571970666578885	1	0.0557339904967378	10233
chr8:38910000-38915000	ADAM9	0.1658235630883733	0.1344335359684272	0.0222922479328535	0.0222922479328535	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.306467252941994	1	0.0805643922819216	5859
chr15:83695000-83700000	ADAMTSL3	0.1477524919124673	0.1747342232643198	0.0258174169096926	0.0258174169096926	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.3359975073062819	1	0.0661910770016646	7869
chr19:35890000-35895000	TYROBP	0.0552182821654889	0.1129227739765661	0.0062354015963477	0.0062354015963477	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.6276555721659346	1	0.0759508561797811	10387
chr11:88420000-88425000	CTSC	0.753054965538175	0.1207997374992701	0.0909688421595334	0.0909688421595334	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.1924022554491508	1	0.0599393391537961	1309
chr10:128060000-128065000	PTPRE	0.0641383760642448	0.2922631129949573	0.0187452814509774	0.0187452814509774	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2821583539259103	1	0.0768739213040153	13443
chr15:40925000-40930000	INO80	0.1766519292906058	0.0533882083551959	0.0094311300073141	0.0094311300073141	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	1.0183453773387467	1	0.0852720023353086	3891
chr19:54125000-54130000	RPS9	0.0315338505218031	0.0505147721767626	0.0015929252749649	0.0015929252749649	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2396501973104545	1	0.051050241203547	12018
chr16:17405000-17410000	XYLT1	0.0726781335268583	0.1782884379155142	0.0129576708971187	0.0129576708971187	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.1841734717380169	1	0.0525594503142794	9911
chr15:38395000-38400000	SPRED1	0.1884343818484299	0.2142569915427832	0.0403733837580686	0.0403733837580686	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2928847841102028	1	0.0757765371584186	6740
chr16:50265000-50270000	ADCY7	0.0775372604022336	0.1995370774801493	0.015471558336479	0.015471558336479	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.4329630953819976	1	0.0586940747466046	12467
chr15:49900000-49905000	ATP8B4	0.0380958059869695	0.1814982516149259	0.0069143221804964	0.0069143221804964	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2392273598561918	1	0.1046686791333528	13487
chr17:45165000-45170000	FMNL1	0.0276833035967611	0.0730090314452109	0.0020211311828032	0.0020211311828032	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.3530790466763593	1	0.0737563548259045	6897
chr4:38750000-38755000	TLR6	0.3225567274287724	0.0656630571585563	0.0211800608300323	0.0211800608300323	BACH1	False	BACH1_direct_+/+	BACH1_direct_+/+_(85g)	BACH1_direct_+/+_(131r)	0.2933554252015915	1	0.0549337252806396	4384
